date,platform,acquisition_source,dau,dau_via_notifications,dau_via_launcher,dau_via_deeplink,installs,uninstalls,d0_uninstalls,d1,d7,d30,pvs,sessions,logins,avg_engagement_time_per_user,avg_sessions_per_user,avg_pvs_per_session,pct_d0_notification_opt_in,pct_d0_login,pct_dau_logged_in,pct_dau_via_notifications,pct_dau_via_launcher,pct_dau_via_deeplink,net_installs,week,month,d1_cohort_day,d7_cohort_day,d30_cohort_day,d1_cohort_week,d7_cohort_week,d30_cohort_week,d1_cohort_month,d7_cohort_month,d30_cohort_month,d1_users,d7_users,d30_users,avg_engagement_time,d0_notification_opt_in,d0_login,dau_logged_in,d1_corrected,d7_corrected,d30_corrected,d1_installs,d7_installs,d30_installs
2026-01-01,ios,organic,239731,39025,206023,14196,1583,0,0,0.345094664,0.285591027,0.24496124,3182069,457697,256,341.7475797,1.90921074,6.952348388,0.385786802,0.194585448,0.252203511,0.162786623,0.859392402,0.059216372,1583,2026-W01,Jan-26,31-Dec-2025,25-Dec-2025,2-Dec-2025,2025-W53,2025-W52,2025-W49,Dec-25,Dec-25,Dec-25,540.07,464.94,550.67,"81,927,489.03",610.70,308.03,"60,461.00",0.375838926,0.292785235,0.287751678,"1,565","1,628","2,248"
2025-05-01,android,paid,42329,21186,18724,8640,"4,137",2755,1183,0.27154118,0.144695212,0,443305,78285,675,741.5568995,1.849441281,5.662706777,0.701235895,0.136754433,0.257435801,0.500507926,0.442344492,0.204115382,3633,2025-W18,May-25,30-Apr-2025,24-Apr-2025,1-Apr-2025,2025-W18,2025-W17,2025-W14,Apr-25,Apr-25,Apr-25,,,,"31,389,362.00","2,901.01",565.75,"10,897.00",0.249865664,0.176249328,0.054540570,,,
2025-05-01,android,others,3180,1453,863,1344,275,107,47,0.352941176,0.175163399,2.593137255,31120,5657,42,964.2534591,1.778930818,5.501149019,0.629496403,0.179856115,0.405345912,0.456918239,0.271383648,0.422641509,26,2025-W18,May-25,30-Apr-2025,24-Apr-2025,1-Apr-2025,2025-W18,2025-W17,2025-W14,Apr-25,Apr-25,Apr-25,,,,"3,066,326.00",173.11,49.46,"1,289.00",0.323741007,0.284172662,0.129496403,,,
2025-05-01,ios,WTA,2821,1135,1846,275,142,0,0,0.384615385,0.16,0,35011,5611,0,255.1644807,1.989010989,6.239707717,0.25,0.0625,0.253456221,0.402339596,0.65437788,0.097483162,558,2025-W18,May-25,30-Apr-2025,24-Apr-2025,1-Apr-2025,2025-W18,2025-W17,2025-W14,Apr-25,Apr-25,Apr-25,,,,"719,819.00",35.50,8.88,715.00,0.187500000,0.062500000,0.062500000,,,
2025-05-01,ios,paid,3910,1391,2879,206,157,0,0,0,0,0,92469,12573,8,532.6849105,3.215601023,7.354569315,,,0.357289003,0.355754476,0.736317136,0.052685422,0,2025-W18,May-25,30-Apr-2025,24-Apr-2025,1-Apr-2025,2025-W18,2025-W17,2025-W14,Apr-25,Apr-25,Apr-25,,,,"2,082,798.00",,,"1,397.00",0.000000000,0.000000000,0.000000000,,,
2025-05-01,android,organic,269766,87343,149678,76173,"1,739",2571,571,0.335202243,0.219038523,0,4375292,710288,637,1068.174974,2.632978211,6.159884441,0.632090762,0.145867099,0.328303048,0.323773196,0.554843828,0.28236694,-2513,2025-W18,May-25,30-Apr-2025,24-Apr-2025,1-Apr-2025,2025-W18,2025-W17,2025-W14,Apr-25,Apr-25,Apr-25,,,,"288,157,290.04","1,099.21",253.66,"88,565.00",0.318071313,0.249594814,0.111426256,,,
2025-05-01,android,All,335109,119669,173712,94575,"7,446",6360,2147,0.266642238,0.168799758,0.047947068,5024424,827807,1523,999.2394236,2.470261915,6.069559692,0.685907859,0.140379404,0.313229427,0.357104703,0.518374618,0.282221606,794,2025-W18,May-25,30-Apr-2025,24-Apr-2025,1-Apr-2025,2025-W18,2025-W17,2025-W14,Apr-25,Apr-25,Apr-25,,,,"334,854,124.00","5,107.27","1,045.27","104,966.00",0.271596684,0.197111527,0.075688687,,,
2025-05-01,ios,others,846,373,495,109,18,0,0,0.479262673,0.289915966,1.644067797,9693,1489,0,258.3156028,1.760047281,6.509738079,0.5,0.222826087,0.219858156,0.440898345,0.585106383,0.128841608,1227,2025-W18,May-25,30-Apr-2025,24-Apr-2025,1-Apr-2025,2025-W18,2025-W17,2025-W14,Apr-25,Apr-25,Apr-25,,,,"218,535.00",9.00,4.01,186.00,0.543478261,0.510869565,0.206521739,,,
2025-05-01,ios,organic,339057,97281,267713,19094,753,0,0,0.398780488,0.291937333,0,6316937,933523,94,425.5931716,2.753292219,6.766771681,0.397719651,0.160965795,0.263651834,0.286916359,0.789581103,0.056315015,1837,2025-W18,May-25,30-Apr-2025,24-Apr-2025,1-Apr-2025,2025-W18,2025-W17,2025-W14,Apr-25,Apr-25,Apr-25,,,,"144,300,343.98",299.48,121.21,"89,393.00",0.404426559,0.415157612,0.194500335,,,
2025-05-01,android,WTA,19844,9691,4450,8421,"1,295",927,346,0.140175953,0.130877743,0,174707,33583,169,616.8688772,1.692350333,5.202245184,0.70990099,0.115841584,0.212658738,0.488359202,0.224249143,0.424360008,-352,2025-W18,May-25,30-Apr-2025,24-Apr-2025,1-Apr-2025,2025-W18,2025-W17,2025-W14,Apr-25,Apr-25,Apr-25,,,,"12,241,146.00",919.32,150.01,"4,220.00",0.223762376,0.121782178,0.051485149,,,
2025-05-01,ios,All,346625,100180,272927,19681,"1,070",0,0,0.407803314,0.290625,0.168891468,6454110,953187,102,425.0169376,2.749908402,6.771084792,0.409387998,0.167557932,0.264525063,0.289015507,0.787384061,0.05677894,3622,2025-W18,May-25,30-Apr-2025,24-Apr-2025,1-Apr-2025,2025-W18,2025-W17,2025-W14,Apr-25,Apr-25,Apr-25,,,,"147,321,496.00",438.05,179.29,"91,691.00",0.417504435,0.422235364,0.194559432,,,
2025-05-02,ios,others,804,375,469,89,7,0,0,0.543478261,0.35,1.970238095,8557,1395,1,205.8445274,1.735074627,6.134050179,0.462427746,0.283236994,0.231343284,0.46641791,0.583333333,0.110696517,70,2025-W18,May-25,1-May-2025,25-Apr-2025,2-Apr-2025,2025-W18,2025-W17,2025-W14,May-25,Apr-25,Apr-25,9.78,,,"165,499.00",3.24,1.98,186.00,0.468208092,0.468208092,0.219653179,18,,
